listing_id,listing_url,price,district,neighborhood,is_in_complex,scraped_at
7354,https://www.hepsiemlak.com/istanbul-sariyer-maslak-satilik/residence/2608-7354,35000000,Sarıyer,Maslak Mah.,True,2026-05-20 02:04:55.690186
17569,https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-satilik/residence/9636-17569,82500000,Beşiktaş,Dikilitaş Mah.,True,2026-05-20 02:04:55.708245
57339,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57339,140000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.727495
57318,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57318,185000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.739699
57329,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57329,119000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.751259
57305,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57305,283000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.762523
624,https://www.hepsiemlak.com/istanbul-esenyurt-akevler-satilik/residence/109839-624,2350000,Esenyurt,Akevler Mah.,True,2026-05-20 02:04:55.773583
57300,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57300,157500000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.784581
57301,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57301,215000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.795570
57217,https://www.hepsiemlak.com/istanbul-sisli-esentepe-satilik/residence/8525-57217,42000000,Şişli,Esentepe Mah.,True,2026-05-20 02:04:55.806633
57292,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/residence/8525-57292,127500000,Beşiktaş,Nisbetiye Mah.,True,2026-05-20 02:04:55.817630
57307,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57307,210000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.828528
57309,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57309,98000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.839553
57310,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/residence/8525-57310,123750000,Beşiktaş,Nisbetiye Mah.,True,2026-05-20 02:04:55.850511
57313,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57313,123000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.862154
57330,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57330,118000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.872920
57340,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/residence/8525-57340,85000000,Beşiktaş,Nisbetiye Mah.,True,2026-05-20 02:04:55.883806
57337,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/residence/8525-57337,102000000,Beşiktaş,Nisbetiye Mah.,True,2026-05-20 02:04:55.895843
57291,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57291,140000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.906503
57137,https://www.hepsiemlak.com/istanbul-bahcelievler-yenibosna-merkez-satilik/residence/8525-57137,8300000,Bahçelievler,Yenibosna Merkez Mah.,True,2026-05-20 02:04:55.917117
57124,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-satilik/residence/8525-57124,280000000,Şişli,Mecidiyeköy Mah.,True,2026-05-20 02:04:55.927849
57142,https://www.hepsiemlak.com/istanbul-eyupsultan-5-levent-satilik/residence/8525-57142,11500000,Eyüpsultan,5. Levent Mah.,True,2026-05-20 02:04:55.938685
57345,https://www.hepsiemlak.com/istanbul-sisli-esentepe-satilik/residence/8525-57345,67500000,Şişli,Esentepe Mah.,True,2026-05-20 02:04:55.949436
57344,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57344,103000000,Beşiktaş,Levazım Mah.,True,2026-05-20 02:04:55.960203
