listing_id,listing_url,price,district,neighborhood,is_in_complex,scraped_at
22417,https://www.hepsiemlak.com/istanbul-bagcilar-15-temmuz-satilik/residence/40658-22417,11900000,Bağcılar,15 Temmuz Mah.,True,2026-07-18 13:26:06.771395
2267,https://www.hepsiemlak.com/istanbul-kagithane-gursel-satilik/residence/85532-2267,6900000,Kağıthane,Gürsel Mah.,True,2026-07-18 13:26:06.853947
286,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/residence/144780-286,5600000,Kağıthane,Çağlayan Mah.,True,2026-07-18 13:26:06.939499
57345,https://www.hepsiemlak.com/istanbul-sisli-esentepe-satilik/residence/8525-57345,67500000,Şişli,Esentepe Mah.,True,2026-07-18 13:26:07.041607
298,https://www.hepsiemlak.com/istanbul-kucukcekmece-inonu-satilik/residence/132012-298,7200000,Küçükçekmece,İnönü Mah.,True,2026-07-18 13:26:07.106717
57292,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/residence/8525-57292,127500000,Beşiktaş,Nisbetiye Mah.,True,2026-07-18 13:26:07.172988
667,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/residence/145537-667,3050000,Esenyurt,Yeşilkent Mah.,True,2026-07-18 13:26:07.270812
725,https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-satilik/residence/79030-725,140000,Kağıthane,Hamidiye Mah.,True,2026-07-18 13:26:07.360091
1095,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/residence/136375-1095,4000000,Esenyurt,Yeşilkent Mah.,True,2026-07-18 13:26:07.430287
1529,https://www.hepsiemlak.com/istanbul-sisli-yayla-satilik/residence/17314-1529,8000000,Şişli,Yayla Mah.,True,2026-07-18 13:26:07.509951
724,https://www.hepsiemlak.com/istanbul-eyupsultan-alibeykoy-satilik/residence/79030-724,7999999,Eyüpsultan,Alibeyköy Mah.,True,2026-07-18 13:26:07.612738
59,https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-satilik/residence/168780-59,4400000,Esenyurt,Barbaros Hayrettin Paşa Mah.,True,2026-07-18 13:26:07.712509
6480,https://www.hepsiemlak.com/istanbul-sisli-fulya-satilik/residence/6485-6480,11450000,Şişli,Fulya Mah.,True,2026-07-18 13:26:07.824495
12525,https://www.hepsiemlak.com/istanbul-kagithane-emniyet-evleri-satilik/residence/81240-12525,12750000,Kağıthane,Emniyet Evleri Mah.,True,2026-07-18 13:26:07.929797
40,https://www.hepsiemlak.com/istanbul-kagithane-telsizler-satilik/residence/168963-40,6100000,Kağıthane,Telsizler Mah.,True,2026-07-18 13:26:08.003429
15,https://www.hepsiemlak.com/istanbul-pendik-kaynarca-satilik/residence/165102-15,22000000,Pendik,Kaynarca Mah.,True,2026-07-18 13:26:08.082358
920,https://www.hepsiemlak.com/istanbul-atasehir-ataturk-satilik/residence/40554-920,24500000,Ataşehir,Atatürk Mah.,True,2026-07-18 13:26:08.333804
2302,https://www.hepsiemlak.com/istanbul-sisli-yayla-satilik/residence/85532-2302,8750000,Şişli,Yayla Mah.,True,2026-07-18 13:26:08.414324
7416,https://www.hepsiemlak.com/istanbul-zeytinburnu-sumer-satilik/residence/2608-7416,9500000,Zeytinburnu,Sümer Mah.,True,2026-07-18 13:26:08.588337
58,https://www.hepsiemlak.com/istanbul-esenyurt-gokevler-satilik/residence/168780-58,5650000,Esenyurt,Gökevler Mah.,True,2026-07-18 13:26:08.733469
1,https://www.hepsiemlak.com/istanbul-beyoglu-piyalepasa-satilik/residence/169660-1,15150000,Beyoğlu,Piyalepaşa Mah.,True,2026-07-18 13:26:08.825263
56,https://www.hepsiemlak.com/istanbul-kadikoy-fikirtepe-satilik/residence/158228-56,6290000,Kadıköy,Fikirtepe Mah.,True,2026-07-18 13:26:08.942122
4237,https://www.hepsiemlak.com/istanbul-kartal-cevizli-satilik/residence/72542-4237,4400000,Kartal,Cevizli Mah.,True,2026-07-18 13:26:09.014632
