listing_id,listing_url,price,district,neighborhood,is_in_complex,scraped_at
2267,https://www.hepsiemlak.com/istanbul-kagithane-gursel-satilik/residence/85532-2267,6900000,Kağıthane,Gürsel Mah.,True,2026-07-15 13:00:13.459818
286,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/residence/144780-286,5600000,Kağıthane,Çağlayan Mah.,True,2026-07-15 13:00:13.474648
2252,https://www.hepsiemlak.com/istanbul-esenyurt-cumhuriyet-satilik/residence/65982-2252,6850000,Esenyurt,Cumhuriyet Mah.,True,2026-07-15 13:00:13.488391
160,https://www.hepsiemlak.com/istanbul-sariyer-ayazaga-satilik/residence/144780-160,26000000,Sarıyer,Ayazağa Mah.,True,2026-07-15 13:00:13.501447
12,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/residence/169844-12,18900000,Kadıköy,Göztepe Mah.,True,2026-07-15 13:00:13.520239
102911,https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-satilik/residence/69537-102911,51500000,Eyüpsultan,Göktürk Merkez Mah.,True,2026-07-15 13:00:13.533150
156,https://www.hepsiemlak.com/istanbul-beylikduzu-beylikduzu-osb-satilik/residence/145691-156,2100000,Beylikdüzü,Beylikdüzü OSB Mah.,True,2026-07-15 13:00:13.546030
275,https://www.hepsiemlak.com/istanbul-kucukcekmece-halkali-merkez-satilik/residence/123596-275,18500000,Küçükçekmece,Halkalı Merkez Mah.,True,2026-07-15 13:00:13.558683
83,https://www.hepsiemlak.com/istanbul-buyukcekmece-cumhuriyet-satilik/residence/163478-83,4200000,Büyükçekmece,Cumhuriyet Mah.,True,2026-07-15 13:00:13.572237
57,https://www.hepsiemlak.com/istanbul-esenyurt-gokevler-satilik/residence/168780-57,3450000,Esenyurt,Gökevler Mah.,True,2026-07-15 13:00:13.585390
192,https://www.hepsiemlak.com/istanbul-kagithane-talatpasa-satilik/residence/145839-192,8800000,Kağıthane,Talatpaşa Mah.,True,2026-07-15 13:00:13.597857
57440,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-satilik/residence/8525-57440,134500000,Şişli,Teşvikiye Mah.,True,2026-07-15 13:00:13.610373
73,https://www.hepsiemlak.com/istanbul-esenyurt-orhan-gazi-satilik/residence/154933-73,2750000,Esenyurt,Orhan Gazi Mah.,True,2026-07-15 13:00:13.622773
605,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-satilik/residence/124316-605,112500000,Beşiktaş,Nisbetiye Mah.,True,2026-07-15 13:00:13.634930
57294,https://www.hepsiemlak.com/istanbul-besiktas-levazim-satilik/residence/8525-57294,110000000,Beşiktaş,Levazım Mah.,True,2026-07-15 13:00:13.648007
511,https://www.hepsiemlak.com/istanbul-sisli-merkez-satilik/residence/136797-511,55000000,Şişli,Merkez Mah.,True,2026-07-15 13:00:13.659635
40,https://www.hepsiemlak.com/istanbul-kagithane-telsizler-satilik/residence/168963-40,6100000,Kağıthane,Telsizler Mah.,True,2026-07-15 13:00:13.672835
725,https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-satilik/residence/145406-725,39750000,Kağıthane,Hamidiye Mah.,True,2026-07-15 13:00:13.684434
46920308,https://www.hepsiemlak.com/istanbul-bagcilar-100-yil-satilik/residence/0-46920308,2850000,Bağcılar,100. Yıl Mah.,True,2026-07-15 13:00:13.700878
1264,https://www.hepsiemlak.com/istanbul-kartal-kordonboyu-satilik/residence/124165-1264,37250000,Kartal,Kordonboyu Mah.,True,2026-07-15 13:00:13.714177
15,https://www.hepsiemlak.com/istanbul-pendik-kaynarca-satilik/residence/165102-15,22000000,Pendik,Kaynarca Mah.,True,2026-07-15 13:00:13.728117
2302,https://www.hepsiemlak.com/istanbul-sisli-yayla-satilik/residence/85532-2302,8750000,Şişli,Yayla Mah.,True,2026-07-15 13:00:13.740188
1529,https://www.hepsiemlak.com/istanbul-sisli-yayla-satilik/residence/17314-1529,8000000,Şişli,Yayla Mah.,True,2026-07-15 13:00:13.752282
12523,https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-satilik/residence/81240-12523,13150000,Kağıthane,Çeliktepe Mah.,True,2026-07-15 13:00:13.764409
